id_area,td_navyj_km_5
1016,23.79207371
1024,105.9005576
1025,69.29042547
1017,21.70484715
1004,73.47358028
1015,9.161596008
2016,50.42599524
2017,22.45765708
2018,9.135780531
2021,52.51314674
2031,10.48915308
2027,18.40876347
2045,34.76478184
2044,83.44120666
2008,37.61432812
2023,15.56514518
2026,16.31554705
2037,5.657531648
2036,3.808242331
2034,2.83235554
2040,23.1468571
2024,33.8143416
2039,27.33276364
2042,2.83235554
2025,14.14055184
3042,7.006313201
3043,34.29123756
3029,30.03023502
3041,29.38320987
3036,2.817198825
3024,23.1043718
3014,22.38220433
3023,21.01096678
3008,78.85669471
3019,25.13635688
3007,46.77571211
3012,10.47856957
3011,18.15164903
3037,85.13362635
3006,30.02493103
3027,69.08689429
3033,44.68193774
4007,57.91943797
4027,2.777196612
4043,55.8253622
4054,57.91943797
4047,32.09951001
4070,16.02534378
4053,59.32405592
4031,80.1903374
4040,53.0418513
4068,5.553941517
4046,42.57058255
4067,82.25803411
4041,53.0418513
4079,53.0418513
4038,13.93245002
4051,50.94776364
4024,1.823755569
4001,89.25645147
4006,59.32405592
4025,1.823804917
4039,18.12094741
4026,2.777196612
4078,62.82777479
4010,36.97451978
4083,38.88200941
4036,5.546408969
4014,59.80183677
4082,36.79007935
4055,40.97377464
4057,18.27080415
4034,75.85792653
4037,23.90797655
4035,32.60480582
4045,34.69732148
4071,101.6513284
4061,22.26597407
4080,2.753487181
4065,29.98434822
4029,45.96727083
4020,6.943440806
4069,4.847946582
4062,14.66399448
4063,55.00895058
4074,6.284855397
4056,6.943095397
4002,8.379391334
4011,28.5502015
4073,6.284855397
4075,84.89018851
4081,4.848445667
4017,1.787012173
4048,7.602239031
4012,107.2695211
4058,9.697033181
4023,25.79429247
4016,1.787012173
4019,75.84425739
4033,91.17675085
4066,4.848445667
4049,17.41768703
4044,19.51035194
4042,12.56913794
4030,59.85862304
4052,4.189713618
4077,73.74937921
4032,114.8789112
4072,95.36662639
4064,14.66435791
4018,2.094816933
5006,0
5028,6.933110208
5018,17.90658389
5039,31.27629416
5045,23.54350563
5010,2.095201065
