id_area,td_navyj_km_6,td_navyj_km_5,td_navyj_km_4
5040,0.612583961,15.15362684,14.84366217
5025,0.612955004,19.34080473,18.94499165
5001,0.613388216,2.095522175,3.44592886
5003,0.000275848,3.516740937,0
5037,0.000690792,13.21292649,13.56889819
5007,0.000418225,5.47023899,4.105639574
5009,0.61364766,4.493406421,0
5002,0.613202462,6.286340021,9.465660176
5008,0.613498769,9.661148139,8.211786889
5033,0.613460294,39.05161489,36.20707023
5004,0.612857069,2.733242131,4.105844586
5027,0.612906049,1.754699839,4.105844586
6016,0.000403351,27.24784961,24.63824534
6024,0.613959807,5.444138863,9.440073805
6021,0.613988469,34.79238978,34.08097556
6004,0.613797142,49.88168813,48.86572953
6020,0.000696881,42.96414863,40.65136898
6014,0.000644933,39.61346376,39.41913665
6023,2.50E-05,1.738531661,0
6006,0.0003826,25.1522717,20.53208477
6005,0.00121091,58.04650736,59.54222648
1014,0.000149876,21.69545282,24.59291379
1023,0.000266002,12.54950653,13.82602706
1006,0.625318698,61.12921016,64.51780934
1005,0.625344335,62.44316345,64.51780934
1011,0.625439986,34.49317578,34.31402162
1019,9.25E-05,16.9880039,17.9265701
1013,0.000134435,20.38454829,20.49445766
1020,0.625573112,19.07963382,22.02532074
1021,0.000123587,20.38454829,22.02532074
1022,0.625876746,16.73261183,16.39360411
1007,7.99E-05,12.80624198,13.82816599
1010,0.000224674,33.70817451,34.31402162
1002,0.000248446,10.45794725,9.72772958
3010,0.617397328,28.74772297,24.71084297
3039,0.0013389,94.38393849,91.7725753
3022,0.617060796,39.83559169,43.82734645
3005,0.000326656,2.80986995,4.10178295
3004,0.000279291,4.186636398,4.10178295
3017,0.617306974,36.39894825,32.90961113
3009,0.000870543,26.65637329,26.11612164
3040,0.001679063,64.26536075,60.21400453
3018,0.000598228,13.27634914,17.81057256
3013,0.001293471,79.70381189,78.08648024
3016,0.617238495,37.11388221,34.31203007
3025,0.617121203,37.82903412,34.31203007
3020,0.00135534,98.56641249,95.86870282
3003,0.61714237,6.279973877,9.607255999
3026,0.617196652,39.92049063,38.41070276
3021,0.001380567,94.38393849,91.7725753
3030,0.000878777,42.64821839,45.23664067
7003,0.001685979,64.51879431,65.85432484
7012,0.615524203,69.92454497,71.15020019
7017,0.614305434,67.3092224,65.94056817
7004,0.001145337,55.5930467,56.51684389
7007,0.000960436,26.47984073,26.53867725
7006,0.615772304,37.30737063,37.14678709
7008,0.615616912,58.5018788,59.36075814
7011,0.615552463,32.50660516,31.84318638
7010,0.615656609,57.89085446,59.36075814
7016,0.614324053,72.74055626,71.25829759
8004,0.615062134,11.6729945,8.215774261
8059,0.612626509,1.6810141,3.294047124
8028,0.002856891,33.93499648,34.89178564
8073,0.61428538,37.31229442,38.20099604
8060,0.612111358,2.68720219,0
8066,0.61447646,34.61631526,36.22864724
8027,0.002199833,39.32626357,40.17452256
8025,0.614233764,33.95027517,34.90761259
8065,0.614396161,35.29922287,39.52226933
8026,0.61412665,36.63809687,40.17452256
8022,0.000610714,4.368330263,8.559900305
8015,0.611684649,9.565294229,5.26301307
8020,0.613020121,53.34614955,48.64498938
8038,0.00192462,46.98525871,43.39658115
8048,0.613191618,39.59394767,36.82179139
8043,0.001894879,54.34479849,50.60516083
8034,0.613065778,49.66285211,46.68518316
8036,0.001901778,44.30603289,41.4382889
8032,0.613163674,39.9480293,38.14962171
8002,0.001947876,45.98489816,46.68518316
14019,0.00111231,44.62137887,45.21678999
14031,0.000605945,19.55315931,19.68979027
14009,0.606908261,28.39535615,29.85885507
14008,0.000638472,22.65399662,22.71843868
14003,0.000879662,31.48406773,32.88688634
14006,0.607210094,12.94550795,12.68031225
9004,0.606902461,46.71880268,49.32659037
14005,0.001035958,40.42606048,41.10698638
14007,0.000663715,13.97486264,12.68031225
14030,0.606859315,35.6791283,36.99716821
14039,0.000614562,13.97715199,12.68031225
14038,0.001013757,38.32782961,38.07971076
14040,0.000813793,26.29699258,25.74611175
14002,0.607102598,18.56496131,18.74895963
14012,0.606898584,40.42530562,42.1895928
14001,0.000599696,20.10905602,19.68979027
14026,0.000794185,26.29699258,25.74611175
9005,0.001540595,57.20580119,57.54604824
10004,0.60481994,27.74537071,29.74360874
10016,0.000981447,18.30428046,15.3709892
10018,0.607869608,29.79777014,31.76088738
10032,0.610748354,13.10271134,13.34388579
10071,0.609726428,21.44671856,22.55000953
10175,0.000877061,15.18653167,16.41797385
10149,0.000755018,11.53553201,9.245890076
10045,0.610308796,17.25285343,17.42431908
10024,0.610475463,15.68440502,15.3709892
10100,0.610368526,19.8726968,18.44538462
10099,0.608062519,29.81871893,29.72800769
10116,0.610414802,21.97684237,20.50533209
10044,0.002335125,14.13423457,14.3569049
